2016	language text	knowledge base	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	language text	resource description framework	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	language text	textual documents	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	structured data	knowledge base	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	structured data	resource description framework	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	structured data	textual documents	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	knowledge base	resource description framework	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	knowledge base	textual documents	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2016	resource description framework	textual documents	{'ead1e45de146b6a9513fda2eaabf9c418974b17b': 2, 'a339cf43ec10ed5bc30087e0e492adf82a0e514a': 2}
2003	85.40.ls	43.80.+p	{'7e1ddf6d024fd3e571addfbb918585b97dded6cd': 2, '00e3e908c526875e3f0785fa659136ac486e802b': 2}
2003	85.40.ls	87.10.+e	{'7e1ddf6d024fd3e571addfbb918585b97dded6cd': 2, '00e3e908c526875e3f0785fa659136ac486e802b': 2}
2003	43.80.+p	87.10.+e	{'7e1ddf6d024fd3e571addfbb918585b97dded6cd': 2, '00e3e908c526875e3f0785fa659136ac486e802b': 2}
2006	paper presents	frw method	{'2241e4dee83f514197b36c0c5b4c07b42ec80aad': 2, '9948f8429191ff6c76ba376189d63d3d70bfacf4': 2}
2016	artificial neural network	convolutional neural network	{'b9842498767211a3a75f6d0f35f6ddd6d35c0a24': 2, '5dc37355cb8ede943eba3b4b7ffe6df76b93af3e': 2, 'b005d88ccdd6ac952f66e4bcee8320c14502e3cb': 2, 'd1ee3b7807e8042ffa2abac9c7ce986456d1f3d5': 2}
2016	artificial neural network	algorithm	{'9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2, 'da51afc64574de23a09c44846daec2181acf3b19': 2, '4b4958e33c9d8c6250195da676cf44d4ee20bbc3': 2, 'c9eedce8c23eba2518b2d14de45711d684aa03b1': 2, 'f3577d207b1dcd11c50a8035875f4842e009b3e2': 2, '5dc37355cb8ede943eba3b4b7ffe6df76b93af3e': 2}
2016	artificial neural network	language model	{'0caa56dcd8fb9e51577958c9a81b3c1e0e8d6f89': 2}
2016	deep learning	algorithm	{'9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2}
2016	algorithm	machine learning	{'9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2, '5d5f85e5ff74edc87363e60b3e782c87a3d69df4': 2, '83596fabcb440db2f3a5bd6f953a2d553f1102b3': 2, '859c6d6436fa19c34da3034988d6aac006fef4de': 2}
2016	paper investigates	new type	{'6815d26cf8d06fe99e2a14a60171dd60245715b8': 2}
2014	analytical models	topology	{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 3}
2014	analytical models	mathematical model	{'c899f7479d51bbe60808f79ef3f48076ba4123ce': 2}
